student_id;dai_so_tuyen_tinh;giai_tich;giai_tich_so;kien_truc_may_tinh;lap_trinh_python_co_ban;cau_truc_du_lieu_va_giai_thuat;co_so_ky_thuat_lap_trinh;co_so_du_lieu;lap_trinh_huong_doi_tuong;lap_trinh_ung_dung_windows_form;phap_luat_dai_cuong;ky_nang_mem;tieng_anh_tang_cuong;giao_duc_the_chat_1;giao_duc_the_chat_2;giao_duc_the_chat_3;cong_nghe_phan_mem;do_an_1;kiem_thu_phan_mem;thiet_ke_web_co_ban;tieng_anh_1;xac_suat_thong_ke
so_tin_chi;2.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;4.0;1;1.0;1.0;3.0;3.0;3.0;3.0;2.0;3.0
12521097;6.7;9.5;9.9;9.5;8.8;9.4;9.1;8.7;9.8;9.5;8.3;8.8;6.5;9;7.0;7.0;4.9;9.0;8.4;9.5;8.5;9.7
12521054;8.0;9.0;9.3;7.5;7.2;7.9;8.0;8.0;9.2;8.0;9.0;8.9;5.5;10;9.0;8.0;6.9;8.7;7.6;8.5;7.7;9.6
12521111;2.0;8.1;7.7;7.8;6.3;7.4;7.9;7.5;7.8;6.8;7.0;8.9;3.5;8;8.0;7.0;4.9;8.9;6.8;7.0;6.8;9.0
10121164;7.3;7.7;3.3;6.5;8.8;5.4;7.5;6.0;7.9;5.0;7.8;8.4;3.0;7;7.0;8.0;8.4;6.9;6.7;6.5;7.1;5.9
10121688;4.9;8.3;6.3;7.0;7.5;6.2;5.4;6.7;6.9;5.0;7.5;8.9;4.0;6;7.0;7.0;7.8;8.0;6.8;6.0;6.5;5.4
12521124;7.3;7.7;4.6;6.0;9.0;6.4;5.9;7.0;6.9;4.5;7.8;8.5;3.5;8;8.0;9.0;8.5;5.0;5.6;6.0;7.1;6.6
12521041;6.5;9.3;9.5;8.3;9.0;7.2;7.2;6.4;8.7;5.3;8.0;8.6;4.0;7;8.0;8.0;7.8;8.7;7.1;6.3;6.6;9.5
10121516;7.2;6.7;4.4;7.5;7.7;5.9;6.4;5.7;7.9;4.5;8.8;8.7;2.5;7;7.0;6.0;8.9;2.0;6.6;2.8;6.5;5.7
10121366;7.2;6.9;6.5;6.3;7.5;6.7;6.7;6.4;7.4;4.5;6.5;9.0;3.5;9;6.0;8.0;9.3;7.0;6.9;7.0;7.6;6.3
10121256;7.3;7.7;7.9;5.8;7.8;7.5;8.3;7.7;9.2;5.5;6.5;8.7;3.5;8;8.0;7.0;6.2;8.8;7.5;8.5;7.6;8.2
10121846;8.5;9.1;7.4;8.3;7.5;6.8;6.3;7.2;8.7;5.5;7.8;9.3;0.0;6;9.0;8.0;5.6;8.0;8.2;8.8;8.8;8.2
10121611;7.4;7.9;6.7;6.5;7.9;5.7;5.7;6.8;7.3;5.0;8.3;8.4;0.0;9;8.0;8.0;9.0;8.0;6.7;5.5;6.8;7.2
10121496;5.8;8.7;7.3;4.5;5.2;4.8;5.2;4.9;5.7;4.5;7.8;8.7;3.5;7;7.0;6.0;5.5;6.8;6.9;3.8;7.1;6.6
10121210;9.2;8.0;5.7;7.5;7.0;7.5;8.1;5.8;8.0;5.0;7.8;7.8;4.0;8;7.0;7.0;8.0;7.7;6.4;6.0;7.2;6.7
12521018;8.2;6.6;6.6;5.0;8.0;5.3;5.4;6.8;7.4;4.5;7.8;8.4;4.0;8;7.0;8.0;6.5;7.0;7.3;8.0;7.2;5.9
10620151;6.9;7.5;4.7;8.0;8.9;7.3;7.1;5.4;5.3;4.5;8.5;8.5;4.5;6;9.0;8.0;5.0;2.8;6.5;2.5;7.1;6.2
10121226;7.2;7.7;5.8;7.0;8.5;5.7;6.6;6.2;7.5;4.5;7.8;7.7;4.0;7;7.0;7.0;6.0;2.8;6.4;2.5;6.4;5.4
10121225;8.2;6.9;5.9;6.0;8.8;4.7;6.5;5.9;7.2;4.5;8.0;7.7;2.5;8;7.0;6.0;6.3;6.5;6.9;6.3;7.0;5.2
10121201;8.3;8.9;8.1;6.3;7.2;7.9;7.8;7.2;8.4;5.5;8.3;8.9;4.0;7;8.0;7.0;8.3;8.0;7.4;9.6;7.1;8.9
12521140;8.8;8.4;6.7;6.3;7.8;8.0;6.7;7.9;8.8;2.5;7.5;8.4;2.5;7;8.0;7.0;8.5;7.5;7.8;6.5;6.5;8.9
10121532;6.8;7.8;4.9;7.3;6.5;0.0;7.4;6.0;6.5;4.5;6.5;7.6;3.0;7;7.0;8.0;7.3;6.4;6.4;5.3;6.6;5.3
10121658;7.0;7.9;5.8;5.5;6.8;6.6;7.3;6.8;6.9;2.5;8.0;8.7;0.0;7;5.0;8.0;0.0;1.5;1.5;5.3;5.3;8.8
12220143;9.5;9.1;8.4;9.5;7.9;8.1;8.4;7.4;9.4;8.0;8.5;8.7;3.5;8;6.0;8.0;9.3;9.3;8.4;8.9;7.4;9.8
10119133;8.0;7.0;8.2;0.0;7.5;6.0;6.8;6.8;6.3;7.0;4.3;7.8;;8;8.0;6.0;7.8;7.8;6.7;7.5;7.0;5.7
12521147;8.5;7.9;6.9;7.5;5.5;7.7;8.0;8.0;8.7;2.5;8.0;8.4;0.0;6;6.0;5.0;7.0;6.2;5.8;7.0;0.0;6.0
11021274;8.5;9.2;8.5;7.5;9.5;9.2;8.8;7.3;9.4;9.5;8.5;8.9;4.5;7;8.0;6.0;7.8;7.5;7.5;8.3;9.0;9.5
10121122;8.2;5.8;3.8;5.8;6.3;4.9;6.4;7.4;7.8;5.0;7.8;8.2;3.0;8;8.0;8.0;7.5;7.0;6.8;7.3;6.4;4.4
10121345;7.4;6.9;4.7;3.5;6.9;5.2;5.4;6.3;7.5;2.5;7.3;8.0;3.0;7;7.0;8.0;3.0;1.3;2.4;2.5;5.7;4.7
12221322;8.0;6.9;9.3;7.8;8.4;7.2;7.1;7.3;9.3;5.5;7.3;8.9;5.5;8;6.0;8.0;8.8;7.5;8.1;9.0;8.3;9.2
10121954;7.5;6.7;8.6;5.5;8.0;6.7;6.5;6.5;8.7;5.0;7.8;8.7;5.5;8;7.0;8.0;8.0;5.5;7.2;7.5;7.9;8.8
12521170;5.3;7.4;7.2;7.0;8.5;6.2;6.1;5.7;6.9;5.5;6.0;9.0;5.0;0;8.0;6.0;7.5;6.2;6.1;3.8;9.0;8.9
12521155;9.4;6.2;6.3;7.3;6.7;6.7;8.0;7.7;7.0;5.8;7.3;6.0;7.3;8;7.5;7.0;8.2;2.5;4.3;6.1;6.2;6.4
10121740;8.2;4.3;6.8;9.0;6.8;6.8;7.8;6.3;5.0;6.7;9.0;7.0;6.3;7;6.6;5.9;8.0;2.0;3.0;5.2;5.7;1.3
12521077;5.0;5.4;5.0;3.5;8.2;8.2;7.8;4.9;9.0;5.3;3.5;9.0;5.8;8;5.8;5.5;8.3;4.0;4.5;5.2;6.4;4.5
10121745;7.3;8.0;7.0;7.8;8.5;8.5;7.5;7.2;7.0;6.2;7.8;7.0;5.9;8;7.3;6.5;8.2;3.5;8.5;6.0;6.9;7.3
12521113;8.4;7.2;7.5;9.0;7.0;7.0;8.5;7.5;8.0;6.8;9.0;8.0;8.0;8;7.8;7.5;8.8;4.5;6.0;7.8;7.0;7.3
12521115;8.7;7.8;6.3;7.3;6.8;6.8;7.3;7.5;5.0;6.2;7.3;7.0;6.4;7;8.0;6.7;8.2;5.5;8.9;7.6;6.5;8.0
10121760;6.7;7.2;7.9;7.0;6.8;6.8;8.0;6.8;5.0;7.4;7.0;6.0;7.2;7;8.1;7.0;8.3;3.5;8.5;9.1;7.9;6.0
12521117;8.3;0.0;6.9;7.1;7.5;7.9;7.5;4.0;8.0;6.8;7.0;7.0;6.7;8;7.0;6.5;7.2;1.5;4.5;7.1;7.0;5.9
10121305;6.4;5.0;6.5;6.8;6.5;6.5;8.0;7.3;8.0;6.3;6.8;6.0;7.0;8;6.3;8.0;8.2;4.0;6.0;6.0;6.4;6.5
12521119;4.9;4.4;6.3;4.5;8.2;8.2;6.5;4.5;6.0;5.7;4.5;6.0;6.9;7;7.0;6.7;8.2;5.5;6.4;6.7;1.8;8.0
10121768;7.2;6.5;7.8;8.3;7.3;7.3;5.8;8.2;6.0;6.5;8.3;7.0;6.9;7;6.8;6.2;7.2;4.5;2.8;7.1;6.8;6.6
12521053;7.7;5.0;6.5;6.0;6.8;6.8;7.5;4.4;7.0;6.5;6.0;8.0;5.9;6;6.8;6.5;8.4;5.0;5.7;2.6;6.5;5.1
10121974;6.8;6.9;4.9;6.3;8.0;8.0;5.8;7.0;6.0;7.0;6.3;8.0;7.5;6;5.5;6.8;7.2;5.5;7.9;8.8;7.2;5.6
10121806;8.7;7.4;7.5;9.0;8.9;8.9;8.8;8.2;7.0;7.2;9.0;8.0;8.2;8;8.0;7.2;8.8;6.0;8.2;8.6;7.4;8.7
10121277;6.9;5.2;7.0;9.3;6.9;6.9;7.0;7.7;7.0;7.0;9.3;9.0;8.3;8;7.3;7.2;8.2;4.5;7.8;8.2;7.6;7.1
10121811;8.8;7.9;6.8;9.0;8.5;8.5;7.5;8.3;7.0;6.9;9.0;6.0;6.4;8;8.4;7.5;8.4;4.5;6.8;9.2;7.4;7.5
10121818;7.5;4.8;6.5;8.0;7.0;7.0;5.5;6.7;7.0;6.7;8.0;6.0;8.0;7;6.7;7.2;8.5;3.0;7.0;6.1;7.1;7.5
11220025;6.6;6.8;0.0;6.7;7.0;5.0;7.3;7.0;0.0;0.0;7.0;9.0;6.0;8;6.0;5.8;0.0;6.0;3.3;2.9;0.0;0.0
12421022;7.8;5.0;6.3;8.3;8.2;8.2;7.3;6.5;7.0;7.3;8.3;0.0;7.7;9;8.1;6.9;8.2;2.0;6.9;7.1;6.2;5.4
10121280;8.0;6.0;6.5;6.5;7.3;7.3;7.8;6.5;6.0;6.3;6.5;9.0;6.5;9;6.6;7.7;8.2;2.5;5.9;7.1;6.4;6.5
10121301;8.3;6.7;6.5;6.5;6.8;6.8;7.0;6.7;7.0;6.8;6.5;7.0;6.8;9;7.5;7.7;8.3;0.0;3.8;5.2;6.2;0.6
10121885;8.9;7.8;7.3;9.0;8.8;8.8;8.0;8.3;6.0;7.9;9.0;8.0;7.8;9;8.4;8.0;8.8;5.0;8.0;9.1;7.7;7.1
10121331;7.7;8.3;4.5;6.5;8.8;8.8;7.3;7.7;5.0;6.0;6.5;5.0;5.4;6;9.0;6.0;8.3;5.0;3.3;3.8;6.7;0.2
12521042;6.7;6.7;6.8;8.3;7.4;7.4;8.5;7.5;6.0;5.8;8.3;8.0;6.7;8;8.1;6.3;8.2;3.5;8.5;6.8;6.5;6.4
10121040;9.4;8.7;6.8;8.3;8.8;8.8;9.0;8.8;7.0;7.8;8.3;7.0;7.4;8;9.0;8.7;8.8;5.5;9.0;5.8;7.3;7.3
10121268;7.0;4.4;7.0;6.5;7.7;7.7;7.5;6.2;8.0;7.3;6.5;8.0;5.7;7;7.2;7.4;7.2;5.0;7.4;7.4;6.5;5.5
10121287;6.7;4.7;6.5;6.8;6.0;6.0;6.8;6.4;9.0;6.5;6.8;6.0;7.4;8;7.3;7.0;8.0;4.0;6.7;2.3;6.2;5.7
12221203;7.0;6.2;6.5;8.0;6.0;6.0;6.3;6.0;6.0;6.3;8.0;6.0;7.4;7;7.6;7.4;8.8;3.0;7.0;3.7;7.5;6.1
12521036;8.8;7.2;7.5;7.8;6.3;6.3;8.0;7.7;8.0;7.8;7.8;7.0;8.0;9;8.7;7.2;8.5;5.5;9.0;6.5;7.3;8.4
12521151;8.7;8.3;7.3;9.0;7.7;7.7;6.3;6.8;8.0;7.8;9.0;5.0;7.8;8;8.6;8.3;8.5;4.5;9.4;8.9;7.3;6.4
10121395;7.4;6.5;6.8;7.0;8.2;8.2;8.3;6.7;6.0;6.8;7.0;0.0;7.3;8;8.4;7.5;8.5;4.0;9.2;9.5;7.3;7.2
12521167;8.8;0.0;0.0;7.0;7.0;6.5;6.5;5.9;5.0;5.3;6.5;0.0;7.0;6;7.6;6.4;0.0;0.0;5.8;5.7;6.0;1.6
10121736;8.0;4.2;7.3;6.3;7.2;8.3;7.6;6.3;7.5;6.0;5.9;8.5;2.5;5;6.0;5.0;6.3;5.5;5.1;5.5;6.2;5.4
10121971;7.3;7.3;8.2;8.8;8.3;7.9;8.7;0.0;7.9;8.0;7.5;8.3;5.0;9;9.0;6.0;8.3;7.7;6.3;3.2;7.5;8.9
10121743;8.3;9.3;7.7;8.5;7.5;8.2;7.6;8.0;8.3;7.8;7.3;6.4;4.5;6;7.0;7.0;8.0;7.8;6.8;7.9;6.6;7.1
12521012;7.8;6.5;2.5;7.8;7.5;7.2;7.7;6.4;6.3;6.0;6.0;7.3;3.0;6;7.0;5.0;7.0;5.7;6.6;8.9;6.3;6.8
10121782;8.8;9.2;7.9;9.8;7.0;8.8;8.7;8.0;8.0;9.0;6.8;7.1;0.0;7;6.0;7.0;8.0;8.7;7.8;2.4;7.2;9.5
12521166;9.1;6.3;6.3;8.8;7.0;7.7;7.8;6.7;7.8;8.0;6.3;8.2;5.0;7;8.0;9.0;7.8;7.9;6.5;8.7;6.4;8.6
10121548;8.5;6.9;3.0;8.0;7.0;7.8;7.8;6.0;7.5;8.8;6.3;8.2;1.5;7;5.0;6.0;7.3;7.7;7.0;6.9;5.2;4.4
10121965;8.8;8.8;8.3;8.3;7.5;8.3;8.5;8.0;8.7;9.5;6.4;7.4;3.0;8;7.0;6.0;8.0;8.0;7.2;7.4;6.3;8.3
10121126;7.9;7.4;6.8;8.0;6.4;7.1;7.2;0.0;8.2;9.3;7.3;8.8;4.0;8;8.0;5.0;8.0;7.2;5.7;6.7;7.2;7.2
12521125;8.8;7.7;8.5;8.0;5.8;7.4;6.6;7.2;7.0;7.5;7.8;9.4;2.5;7;6.0;5.0;8.0;8.2;7.1;7.5;7.3;7.8
10121853;6.7;6.2;6.9;6.8;7.5;5.9;7.3;7.3;7.7;6.5;6.0;7.8;3.0;8;9.0;6.0;5.5;8.0;6.0;7.0;6.5;8.2
12221514;7.5;8.0;8.3;7.8;8.0;7.9;8.3;8.3;8.5;8.3;6.8;9.3;3.5;8;8.0;9.0;8.0;8.4;6.7;8.5;6.5;7.2
10121856;8.3;9.2;8.7;8.3;8.5;7.9;6.8;7.5;8.0;7.5;7.0;8.7;2.0;8;9.0;8.0;7.0;8.9;7.8;8.0;6.6;9.7
10621740;8.4;8.4;7.7;8.5;7.5;7.4;7.1;7.4;7.8;8.5;7.2;6.7;6.0;8;7.0;7.0;7.0;8.0;8.0;8.0;7.2;10.0
10121578;7.6;6.5;6.2;5.8;6.5;6.0;6.3;4.5;6.7;5.5;6.3;6.5;1.5;8;7.0;7.0;7.8;7.5;4.8;8.0;6.6;0.0
10121343;9.0;6.9;6.1;6.5;6.3;6.5;6.9;5.8;7.7;6.0;7.5;7.6;3.5;7;6.0;7.0;6.3;3.5;5.6;7.5;5.9;5.8
12521168;6.9;8.9;8.5;8.3;6.5;9.0;8.6;7.5;8.9;9.0;6.5;7.9;6.5;7;9.0;8.0;8.0;8.7;7.2;7.3;7.8;9.0
10121346;8.4;7.0;6.9;6.0;7.5;8.0;7.6;7.8;6.9;8.5;6.8;6.4;4.0;7;5.0;6.0;6.3;7.9;6.4;8.0;7.0;4.9
12521088;7.0;6.2;5.1;5.3;6.3;7.3;7.7;6.2;6.4;5.5;6.4;8.2;2.0;6;6.0;8.0;3.5;6.2;3.0;7.0;7.5;7.8
12521038;7.6;6.0;6.9;6.3;7.0;6.0;7.5;7.4;7.5;8.3;6.5;6.9;4.5;7;8.0;8.0;8.0;8.7;6.6;8.3;6.8;6.9
10121900;8.6;8.2;7.4;7.8;7.5;7.9;8.0;7.5;8.2;8.5;6.2;7.0;3.0;7;6.0;7.0;8.0;8.2;7.5;7.0;6.9;7.3
10121904;8.6;9.5;8.4;6.5;8.8;8.8;8.2;7.2;7.8;9.0;6.9;8.5;2.0;8;9.0;8.0;8.8;8.9;7.3;7.0;6.9;8.4
10121910;9.0;9.3;8.2;9.0;7.9;8.2;9.1;8.2;9.4;8.8;8.3;7.5;5.5;8;8.0;8.0;8.3;8.9;8.2;8.5;7.0;9.0
10121134;6.7;6.0;4.8;5.8;8.0;5.9;5.3;5.3;5.8;6.0;6.3;6.5;3.0;8;8.0;7.0;5.8;7.4;6.2;5.3;5.7;0.0
10121926;8.3;8.4;8.6;7.8;8.5;9.1;7.8;8.0;8.5;9.3;7.4;8.7;2.0;9;9.0;8.0;8.0;6.8;8.2;9.0;7.3;9.8
12521065;8.2;7.8;6.7;7.5;8.3;7.8;8.6;6.0;8.3;7.5;7.2;6.7;3.0;5;6.0;5.0;5.5;7.4;5.5;9.0;7.2;6.0
10121449;7.9;7.1;7.4;8.3;7.8;7.3;8.4;0.0;8.8;8.3;7.7;7.5;0.0;9;8.0;7.0;7.5;8.0;7.5;7.5;6.5;8.2
10121187;6.4;7.4;5.8;5.0;5.5;5.7;5.5;7.4;6.0;5.0;6.0;7.9;7.0;8;8.0;7.0;5.5;4.5;5.9;6.0;8.1;2.9
12521108;9.0;9.0;10.0;7.5;8.8;9.4;9.3;8.3;9.0;9.3;8.8;9.0;6.5;8;8.0;8.0;9.0;9.3;9.3;9.5;9.3;9.4
10121755;8.3;8.2;8.7;6.8;7.0;6.5;7.3;7.7;8.2;8.5;6.0;8.3;1.5;7;7.0;7.0;8.5;7.5;7.8;8.5;6.7;6.9
10121766;6.8;8.2;7.9;5.5;6.0;6.4;6.3;7.7;5.5;7.0;8.0;8.3;2.0;7;8.0;8.0;5.5;5.4;7.3;6.8;7.7;7.8
10121785;8.0;7.2;7.4;7.0;5.0;4.7;6.2;8.3;7.7;8.5;7.3;8.7;6.5;8;8.0;9.0;7.3;8.7;7.8;7.3;7.6;6.6
10121232;8.0;6.7;7.5;5.5;7.3;5.4;5.2;5.9;5.5;6.5;7.3;8.5;6.0;7;7.0;9.0;8.8;8.9;8.2;9.3;9.0;9.0
10121975;8.5;8.9;7.3;7.0;7.0;8.5;7.9;6.8;8.2;9.0;7.5;8.4;6.0;8;7.0;8.0;7.3;7.7;8.2;9.3;7.7;7.3
10121349;7.5;6.7;6.9;8.3;7.0;5.2;7.8;6.9;7.2;7.3;8.3;8.2;3.0;8;9.0;9.0;6.0;6.0;5.1;6.5;7.3;5.9
10121416;8.0;7.9;8.3;7.8;7.3;5.4;6.6;6.0;6.3;6.5;9.0;8.8;4.0;8;8.0;9.0;5.0;4.8;6.1;5.0;7.6;5.5
10121039;9.5;9.2;9.3;8.0;9.0;7.3;8.5;7.4;7.2;8.8;9.3;9.0;3.5;9;9.0;9.0;8.3;8.3;8.3;9.5;8.1;9.8
10121115;9.3;6.3;6.9;6.8;4.0;6.2;6.8;5.9;7.2;8.0;7.3;7.9;3.5;8;8.0;8.0;5.3;4.8;6.9;7.8;6.4;4.9
10121101;7.7;6.2;5.5;6.3;5.5;6.0;6.0;5.4;6.7;3.8;5.8;8.3;3.5;7;8.0;6.0;3.0;2.5;6.9;7.0;8.0;3.4
10121055;6.4;6.5;3.5;7.3;6.5;5.3;5.9;6.4;4.9;3.8;7.0;8.2;3.0;7;8.0;6.0;3.0;2.8;5.7;8.0;7.2;4.4
10121640;7.9;6.2;6.0;5.8;5.5;5.4;5.3;4.9;5.7;1.5;6.8;6.9;0.0;7;7.0;7.0;5.0;4.5;6.6;1.5;0.0;5.7
12521016;6.8;7.3;6.3;6.5;7.3;6.2;6.8;7.2;6.0;7.5;6.8;8.5;5.0;8;7.0;9.0;7.0;6.9;6.2;8.0;8.0;8.5
12421009;8.5;8.9;7.8;8.0;7.3;6.4;7.5;6.7;8.0;8.0;9.3;8.3;5.0;9;8.0;9.0;7.0;5.8;8.4;6.3;7.9;7.9
12521095;8.8;9.4;9.9;7.3;5.8;8.0;8.3;8.7;7.8;9.0;8.3;8.9;6.0;8;7.0;8.0;9.0;8.8;9.7;9.3;8.7;9.8
10121877;6.5;6.0;6.4;5.3;6.3;5.5;7.3;7.2;5.5;6.3;7.0;8.0;6.0;8;7.0;9.0;5.5;6.7;7.4;7.0;8.2;8.5
10121508;7.5;6.4;3.0;7.0;6.8;6.0;6.3;5.2;7.3;7.5;6.3;8.0;4.5;7;7.0;8.0;8.0;7.8;6.4;8.5;7.8;8.8
10121227;7.3;6.7;7.0;6.3;5.5;6.2;5.8;6.7;6.8;7.0;5.8;8.7;6.5;7;7.0;8.0;7.5;5.8;7.7;7.0;8.3;7.4
10121920;6.7;6.4;6.4;7.5;5.5;5.0;4.3;5.9;5.4;5.5;7.5;8.4;6.0;8;7.0;6.0;7.9;7.0;5.1;7.3;7.8;6.7
10121472;0.0;5.5;6.2;7.5;7.0;5.5;5.1;5.5;6.0;2.0;8.0;7.8;3.0;8;8.0;9.0;0.0;5.3;5.2;4.0;7.6;7.2
12521037;6.4;6.0;9.0;8.5;7.8;7.3;7.5;7.9;6.4;8.6;8.3;7.5;0.0;7;7.0;7.0;7.8;7.3;7.8;8.5;0.0;6.7
10121005;7.5;6.4;7.8;6.3;4.5;5.8;5.8;6.7;8.4;8.0;8.0;8.7;2.0;8;8.0;9.0;8.0;7.5;7.3;7.0;7.8;8.1
